gloss	latin	italian
father	pater	padre
mother	mater	madre
brother	frater	fratɛllo
sister	soror	sorɛlla
son	filiu	fiʎo
daughter	filia	fiʎa
head	kaput	tɛsta
eye	okulu	ɔkkjo
ear	auris	orɛkkjo
nose	nasu	naso
mouth	bukka	bokka
tongue	lingua	liŋɡwa
tooth	dentem	dɛnte
neck	kollu	kɔllo
hand	manu	mano
foot	pede	pjɛde
heart	kor	kwɔre
blood	sanguine	saŋɡwe
bone	ossu	ɔsso
skin	pelle	pɛlle
hair	kapillu	kapɛllo
milk	lakte	latte
night	nokte	nɔtte
day	dje	dʒorno
sun	sole	sole
moon	luna	luna
star	stella	stella
water	aqua	akkwa
fire	fokus	fwɔko
earth	terra	tɛrra
stone	petra	pjɛtra
wood	lignu	leɲo
leaf	folia	fɔʎa
tree	arbor	albero
flower	flore	fjore
fruit	fruktu	frutto
seed	semen	seme
wind	ventu	vɛnto
rain	pluvia	pjɔdʒa
sky	kaelu	tʃɛlo
dog	kane	kane
cat	kattu	ɡatto
horse	kaballu	kavallo
cow	vakka	mukka
bird	avis	ukkɛllo
fish	pisce	peʃe
snake	serpente	sɛrpɛnte
wolf	lupu	lupo
bear	ursu	orso
man	omo	wɔmo
woman	femina	fɛmmina
king	rege	re
year	annu	anno
month	mense	mese
name	nomen	nome
three	tres	tre
four	kwattuor	kwattro
five	kinkwe	tʃiŋkwe
six	seks	sɛi
seven	septem	sɛtte
eight	okto	otto
nine	novem	nɔve
ten	decem	djɛtʃi
good	bonu	bwɔno
bad	malu	malo
new	novu	nwɔvo
old	vetulu	vɛkkjo
big	grande	ɡrande
small	parvu	pikkolo
long	longu	luŋɡo
short	kurtu	korto
white	blanku	bjaŋko
black	nigru	nero
red	rubju	rosso
green	viride	vɛrde
cold	frigidu	frɛddo
hot	kalidu	kaldo
see	videre	vedere
hear	audire	udire
eat	komedere	mandʒare
drink	bibere	bere
speak	parabolare	parlare
know	sapere	sapere
come	venire	venire
go	ire	andare
give	dare	dare
take	prendere	prɛndere
say	dikere	dire
make	fakere	fare
sleep	dormire	dormire
die	morire	morire
live	vivere	vivere
love	amare	amare
break	frangere	rompere
walk	ambulare	kamminare
